state,district,month,age_0_5,age_5_17,age_18_greater,demo_age_5_17,demo_age_17_,bio_age_5_17,bio_age_17_,E,DU,BU,U,T,activity_ratio,zero_month_ratio,avg_monthly_enrolment,monthly_valatility,peak_load_ratio,biometric_burden,update_dominant,enrollment_update_balance,DEI,ASS,UBS,SRS
Tripura,dhalai,1,34,32,3,28.0,341.0,108,101,69,369.0,209,578.0,647.0,1.0,0.0,301.0,0.5018136252032847,1.6749958901857636,0.5787501441254468,1,0.04948216340621404,0.6952838900389237,0.4881748557251496,0.35071833165136823,0.40642534575049566
Tripura,gomati,1,29,23,3,39.0,103.0,92,24,55,142.0,116,258.0,313.0,1.0,0.0,118.57142857142857,0.6426026916105699,2.086995753715499,0.6190449750138812,1,0.0440552016985138,0.35589728312414,0.6947980152095357,0.4296666922174777,0.75
Tripura,khowai,1,21,12,0,8.0,81.0,54,31,33,89.0,85,174.0,207.0,1.0,0.0,69.83333333333333,0.5619663347832236,1.8914806286915609,0.6632183908045977,1,0.041946140754830316,0.6453662496573387,0.75,0.5162142388975439,0.5532190345182828
Tripura,north tripura,1,83,33,2,17.0,239.0,157,239,118,256.0,396,652.0,770.0,1.0,0.0,292.2857142857143,0.486230449828157,1.620306324110672,0.7503460002372573,1,0.03887959866220736,0.7270486109976751,0.49804487352354243,0.6869205496845955,0.3683969375207652
Tripura,sepahijala,1,64,51,2,25.0,250.0,115,73,117,275.0,188,463.0,580.0,1.0,0.0,292.57142857142856,0.5415371455268344,1.755796660582708,0.5273440336988888,1,0.06922192929088082,0.5930731641930407,0.4977212663826115,0.25,0.5033646543844119
Tripura,south tripura,1,72,89,3,34.0,415.0,169,344,164,449.0,513,962.0,1126.0,1.0,0.0,423.1666666666667,0.47678417750899166,1.4952349960485334,0.6197535245346324,1,0.039344211488695706,0.7906226950922568,0.34980583571544144,0.4310549304060952,0.3453447231065076
Tripura,unakoti,1,30,11,0,8.0,80.0,114,62,41,88.0,176,264.0,305.0,1.0,0.0,109.28571428571429,0.4881623449665868,1.6859179159498647,0.7825414222164915,1,0.04700172032440403,0.7681747941382134,0.7053152472897901,0.75,0.3731114385908424
Tripura,west tripura,1,89,68,1,47.0,747.0,330,560,158,794.0,890,1684.0,1842.0,1.0,0.0,511.2857142857143,0.43771408200864614,1.5335279024450459,0.6681901779048383,1,0.03155722888910442,0.970322237493242,0.25,0.5259553007656157,0.25
